id,hs_code,issuing_country,country,tariff_type,tariff_rate,effective_date_from,effective_date_to,investigation_period_from,investigation_period_to,company,case_number,product_description,note
11,7210.30.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Steel Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
12,7210.30.0060,USA,Korea,Antidumping,0.0,2024-12-17,,2022-07-01,2023-06-30,Hyundai Steel Company,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 0.00%"
13,7210.30.0060,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk Coated Metal Co., Ltd.",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
14,7210.30.0060,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk International, Inc",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
15,7210.30.0060,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongbu Incheon Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
16,7210.30.0060,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"KG Steel Corporation; KG Dongbu Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
17,7210.30.0060,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
18,7210.30.0060,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO Coated & Color Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
19,7210.30.0060,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO International Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
20,7210.30.0060,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO STEELEON Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
21,7210.30.0060,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Coated Metal Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
22,7210.30.0060,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Steel Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
23,7210.41.0000,USA,Korea,Antidumping,0.0,2024-12-17,,2022-07-01,2023-06-30,Hyundai Steel Company,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 0.00%"
24,7210.41.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk Coated Metal Co., Ltd.",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
25,7210.41.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk International, Inc",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
26,7210.41.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongbu Incheon Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
27,7210.41.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"KG Steel Corporation; KG Dongbu Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
28,7210.41.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
29,7210.41.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO Coated & Color Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
30,7210.41.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO International Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
31,7210.41.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO STEELEON Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
32,7210.41.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Coated Metal Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
33,7210.41.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Steel Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
34,7210.49.0030,USA,Korea,Antidumping,0.0,2024-12-17,,2022-07-01,2023-06-30,Hyundai Steel Company,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 0.00%"
35,7210.49.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk Coated Metal Co., Ltd.",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
36,7210.49.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk International, Inc",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
37,7210.49.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongbu Incheon Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
38,7210.49.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"KG Steel Corporation; KG Dongbu Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
39,7210.49.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
40,7210.49.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO Coated & Color Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
41,7210.49.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO International Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
42,7210.49.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO STEELEON Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
43,7210.49.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Coated Metal Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
44,7210.49.0030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Steel Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
45,7210.49.0091,USA,Korea,Antidumping,0.0,2024-12-17,,2022-07-01,2023-06-30,Hyundai Steel Company,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 0.00%"
46,7210.49.0091,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk Coated Metal Co., Ltd.",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
47,7210.49.0091,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk International, Inc",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
48,7210.49.0091,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongbu Incheon Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
49,7210.49.0091,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"KG Steel Corporation; KG Dongbu Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
50,7210.49.0091,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
51,7210.49.0091,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO Coated & Color Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
52,7210.49.0091,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO International Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
53,7210.49.0091,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO STEELEON Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
54,7210.49.0091,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Coated Metal Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
55,7210.49.0091,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Steel Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
56,7210.49.0095,USA,Korea,Antidumping,0.0,2024-12-17,,2022-07-01,2023-06-30,Hyundai Steel Company,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 0.00%"
57,7210.49.0095,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk Coated Metal Co., Ltd.",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
58,7210.49.0095,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk International, Inc",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
59,7210.49.0095,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongbu Incheon Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
60,7210.49.0095,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"KG Steel Corporation; KG Dongbu Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
61,7210.49.0095,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
62,7210.49.0095,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO Coated & Color Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
63,7210.49.0095,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO International Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
64,7210.49.0095,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO STEELEON Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
65,7210.49.0095,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Coated Metal Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
66,7210.49.0095,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Steel Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
67,7210.61.0000,USA,Korea,Antidumping,0.0,2024-12-17,,2022-07-01,2023-06-30,Hyundai Steel Company,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 0.00%"
68,7210.61.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk Coated Metal Co., Ltd.",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
69,7210.61.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk International, Inc",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
70,7210.61.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongbu Incheon Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
71,7210.61.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"KG Steel Corporation; KG Dongbu Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
72,7210.61.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
73,7210.61.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO Coated & Color Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
74,7210.61.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO International Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
75,7210.61.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO STEELEON Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
76,7210.61.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Coated Metal Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
77,7210.61.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Steel Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
78,7210.69.0000,USA,Korea,Antidumping,0.0,2024-12-17,,2022-07-01,2023-06-30,Hyundai Steel Company,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 0.00%"
79,7210.69.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk Coated Metal Co., Ltd.",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
80,7210.69.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk International, Inc",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
81,7210.69.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongbu Incheon Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
82,7210.69.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"KG Steel Corporation; KG Dongbu Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
83,7210.69.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
84,7210.69.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO Coated & Color Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
85,7210.69.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO International Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
86,7210.69.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO STEELEON Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
87,7210.69.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Coated Metal Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
88,7210.69.0000,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Steel Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
89,7210.70.6030,USA,Korea,Antidumping,0.0,2024-12-17,,2022-07-01,2023-06-30,Hyundai Steel Company,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 0.00%"
90,7210.70.6030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk Coated Metal Co., Ltd.",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
91,7210.70.6030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk International, Inc",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
92,7210.70.6030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongbu Incheon Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
93,7210.70.6030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"KG Steel Corporation; KG Dongbu Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
94,7210.70.6030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
95,7210.70.6030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO Coated & Color Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
96,7210.70.6030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,POSCO International Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
97,7210.70.6030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"POSCO STEELEON Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
98,7210.70.6030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Coated Metal Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
99,7210.70.6030,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,SeAH Steel Corporation,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
100,7210.70.6060,USA,Korea,Antidumping,0.0,2024-12-17,,2022-07-01,2023-06-30,Hyundai Steel Company,A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 0.00%"
101,7210.70.6060,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk Coated Metal Co., Ltd.",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
102,7210.70.6060,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongkuk International, Inc",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
103,7210.70.6060,USA,Korea,Antidumping,1.99,2024-12-17,,2022-07-01,2023-06-30,"Dongbu Incheon Steel Co., Ltd",A-580-878,Certain Corrosion-Resistant Steel Products,"Final results of AD administrative review; POR Jul 1, 2022–Jun 30, 2023; margin 1.99%"
